Nc1nc(O)c2ncn(CCC(CO)CO)c2n1
Nc1ncnc2c1ncn2/C=C1/CC1(F)CO
Nc1ncnc2c1ncn2/C=C1\CC1(F)CO
Cc1ccc(-c2nnc3sc(CN)cn23)cc1
COc1cc(/C=C/C(=O)O)cc2c1OCO2
COC(=O)c1c(O)c2ccccc2c2occc12
CC(C)n1c(Cc2ccccn2)nc2ccccc21
CC(=O)c1ccc(OC(=O)c2ccco2)cc1
CC(=O)c1ccc(OC(=O)c2cccs2)cc1
NC1C=CN(/C=C2/CC2(F)CO)C(=O)N1
NC1C=CN(/C=C2\CC2(F)CO)C(=O)N1
CC(C)n1c(CCc2ccccn2)nc2ccccc21
CC(C)n1c(CCc2cccn2C)nc2ccccc21
CCN(CCc1c[nH]c2ccccc12)CCC(C)C
C=CCc1ccc(O)c(-c2cc(O)ccc2O)c1
C=CCc1ccc(Oc2cc(CC=C)ccc2O)cc1
CCC(CC)C(=O)OCc1cccc2c1CCOC2=O
O=C(OCc1cccc2c1CCOC2=O)c1ccco1
CC(=O)c1ccc(OC(=O)c2ccccc2)cc1
CC(=O)c1ccc(OC(=O)c2cccnc2)cc1
COc1ccccc1CNc1ncnc(Cl)c1/C=N/O
CCNc1ccc2c(=O)c3cccc(F)c3oc2c1
Fc1cccc2c1Oc1cc(N3CCCC3)ccc1C2
CNC(=O)C(Oc1cc(C)ccc1Cl)c1csnn1
Cn1cccc1CCc1nc2ccccc2n1C1CCCCC1
CC(Cc1ccccn1)c1nc2ccccc2n1C(C)C
CCCN(CCc1c[nH]c2ccccc12)CCC(C)C
CC(=O)C[C@H](O)c1cccc2c1CCOC2=O
CCOC(=O)c1nc(-c2nccs2)sc1CC(C)C
O=C1OCCc2c(/C=C\c3ccccc3)cccc21
Nc1nc2c(ncn2COC(CO)CO)c(=O)[nH]1
O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1
Cn1cccc1CCc1nc2ccccc2n1Cc1ccccc1
c1ccc(Cc2nc3ccccc3n2C2CCCCC2)nc1
C[N+](C)([O-])CCc1c[nH]c2ccccc12
C=CCc1ccc(O)c(-c2cc(C=O)ccc2O)c1
Cn1c(CCC2CCCO2)nc2cc(Cl)c(Cl)cc21
O=C1CN=C(c2ccccc2F)c2cc(Cl)ccc2N1
CCCn1cc(C(=O)c2ccc(OC)cc2O)ccc1=O
c1ccc(CCc2nc3ccccc3n2C2CCCCC2)nc1
CC(C)CN(CCc1c[nH]c2ccccc12)CC(C)C
C=CCc1cccc(Oc2cc(CC=C)cc(O)c2O)c1
C=CCc1ccc(O)c(-c2cc(CC=C)ccc2O)c1
COc1cc(CC/C=C/C(=O)N2CCCCC2)ccc1O
O=C1OCCc2c(COC(=O)C3CCCCC3)cccc21
CS(=O)(=O)Oc1cc(CSc2ccccn2)[nH]n1
O=C1CN2OC2(c2ccccc2)c2cc(Cl)ccc2N1
O=C1CN=C(c2ccccc2Cl)c2cc(Cl)ccc2N1
Cc1cn(/C=C2/CC2(F)CO)c(=O)[nH]c1=O
Cc1cn(/C=C2\CC2(F)CO)c(=O)[nH]c1=O

