CCc1cc2c(C)cc(=O)oc2cc1O
COc1cc2ccc(=O)oc2c(O)c1O
CNCc1ccccc1OCc1ccccc1F.Cl
O=C(O)CCc1nc(-c2cccs2)no1
CCNc1nc(NCC)nc(C(=O)NN)n1
Cc1cc(=O)oc2cc(O)c(O)cc12
Cc1cc(=O)oc2c(O)c(O)ccc12
CCCCOC(=O)Nc1ccc(N(C)C)cc1
O=C(O)Cc1c[nH]c2cccc(O)c12
O=c1cc(CO)c2cc(O)c(O)cc2o1
O=c1cc(CO)c2ccc(O)c(O)c2o1
COc1ccc2c(CCl)cc(=O)oc2c1O
Cc1cc(=O)oc2cc(O)c(Cl)cc12
Nc1ccc(N2CCCCC2)cc1N1CCCCC1
Oc1cccc2cc3cccc(O)c3c(O)c12
CCCOc1[nH]cnc2c3ccccc3nc1-2
Nc1ccc(Cc2ccc(N)c(O)c2)cc1O
CCCCCc1nc2c(O)nc3ccccc3c2o1
N#Cc1cc(Sc2ccc(Br)cc2)cnc1O
N#Cc1cc(-c2ccc(Cl)cc2)cnc1O
O=c1cc(CCl)c2cc(O)c(O)cc2o1
O=c1cc(CCl)c2ccc(O)c(O)c2o1
C(=C/c1ccco1)\c1ccc2ccccc2n1
Nc1cc2c(cc1[N+](=O)[O-])OCO2
Nc1cccnc1Sc1cc(Cl)c(Cl)cc1Cl
COc1ccc2c3c(cccc13)N(C)N=C2C
COc1ccc(C2=CC(=O)C=CC2=O)cc1
CCOc1ccccc1NC(=O)/C=C/C(N)=O
O=C1Nc2ccc3sc4ccccc4c3c2C1=O
CN1c2ccccc2N(C)C1(C)c1ccccc1
O=C(O)c1ccc(-c2ccc(F)cc2)cc1
CCCCCC#CCC#CCC#CCC#CCCCC(=O)O
CSC1=N/C(=C\c2ccccc2F)C(=O)S1
Oc1c(/C=N/c2ccccn2)sc2ccccc12
O=c1c(O)cccc2cc(O)c(O)c(O)c12
COc1cccc2c(C)c(C(=O)O)[nH]c12
O=C(/C=C/c1cccnc1)c1ccc(O)cc1
CNC(S)=Nc1sc2c(c1C(=O)OC)CCC2
N#Cc1cc(-c2cccc3ccccc23)cnc1O
Cc1ccccc1-c1ccc(O)c(C(=O)O)c1
CSc1nnc(-c2ccco2)c(-c2ccco2)n1
O=C(Nc1ccc(F)cc1F)c1noc2c1CCC2
Cc1cccc(/N=C/c2sc3ccccc3c2O)n1
CC(=O)c1sc2nc(-c3cccs3)ccc2c1N
Cc1nc(N)sc1-c1csc(Nc2ncccn2)n1
Nc1c(O)ccc2c1C(=O)c1ccccc1C2=O
COc1ccc(N2C(=O)C3CCCN3C2=O)cc1
CC(=O)c1sc2nc(-c3ccco3)ccc2c1N
Cc1ccc(/C=C/C(=O)NCc2ccccn2)o1
C1=CC2c3ccccc3NC(c3ccncc3)C2C1

