CCCCOc1ccc(-c2nc3ncccn3c2N)cc1
CC(=O)Nc1ccc(C(=O)O)cc1NC(=O)CO
CC(=O)Nc1ccc(C(=O)O)cc1NC(=O)CN
CC1=C(O)C(=O)c2cc(O)c(O)cc2C1=O
COc1ccc(CSc2ccc(Cl)c3nonc23)cc1
CNc1ccc(SCc2ccc(OC)cc2)c2nonc12
O=C(O)COc1nc(N2CCCC2)nc2ccccc12
Cc1ncc(Sc2nccn2C)c(-c2ccccc2O)n1
CC1(C)[C@@H]2CC[C@H](CN)[C@H]1C2
CC(=O)Nc1ccc(C(=O)O)cc1NC(=O)CCCN
CCC(=O)Nc1cc(C(=O)Nc2nccs2)ccc1OC
c1ccc(-c2nc3ncccn3c2NC2CCCCC2)cc1
COc1ccccc1-c1nc2ncccn2c1NC1CCCCC1
NC12CC3CC(CC(C3)C1)C2.O=S(=O)(O)O
O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12
COc1ccc(C(=O)Nc2ccccc2)cc1NC(C)=O
Cc1ccccc1NS(=O)(=O)c1cc(Cl)ccc1Cl
CCCCOc1ccc(-c2nc3ncccn3c2NCCC)cc1
CCC(=O)Nc1cc(C(=O)NC2CCCCC2)ccc1OC
Fc1ccc(-c2nc3ncccn3c2NC2CCCCC2)cc1
Oc1ccc(-c2nc3ncccn3c2NC2CCCCC2)cc1
CC(C)(C)NC(=O)NC(=O)NC(=O)c1ccccc1
CC(C)(C)NC(=O)NC(=S)NC(=O)c1ccccc1
CCC[C@]1(OC)OC(=O)c2c1cc(O)c(O)c2C
CCC(=O)Nc1cc(C(=O)Oc2ccccc2)ccc1OC
CCC(=O)Nc1cc(C(=O)Nc2ccccn2)ccc1OC
CCC(=O)Nc1cc(C(=O)Nc2ccccc2)ccc1Cl
CCC(=O)Oc1cc(C(=O)Nc2ccccc2)ccc1OC
CCC(=O)Nc1cc(NC(=O)c2ccccc2)ccc1OC
O=c1cc(O)cc(/C=C/c2ccc(O)c(O)c2)o1
Clc1ccc(-c2nc3ncccn3c2NC2CCCCC2)cc1
Brc1ccc(-c2nc3ncccn3c2NC2CCCCC2)cc1
COc1ccc(-c2nc3ncccn3c2NC2CCCCC2)cc1
CCCCCCC/C=C\C[C@H]1CCC[C@@H]2CCCN21
CCCCCCC/C=C/C[C@H]1CCC[C@@H]2CCCN21
O=C1/C(=C\c2ccc(O)cc2)Oc2cc(O)ccc21
CC(F)C(=O)Nc1cccc(C(=O)Nc2ccccc2)c1
O=C(COc1nc(Cl)nc2ccccc12)NCc1ccccc1
O=C(NCCOc1nc(Cl)nc2ccccc12)c1ccccc1
CCCCOc1ccc(-c2nc3ncccn3c2NC(C)C)cc1
Cc1cc(Br)ccc1-c1nc2ncccn2c1Nc1ccccc1
CCCCCCC/C=C\C[C@@H]1CCC[C@@H]2CCCN21
CCCCCCC/C=C/C[C@@H]1CCC[C@@H]2CCCN21
COc1cc(OC)nc(NC(=S)NC(=O)c2cccnc2)n1
Cc1cc(C)nc(NC(=S)NC(=O)c2cccnc2Cl)n1
O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12
CC1(C)[C@@H]2CC[C@@]1(C)/C(=N/CCO)C2
O=C(CSc1nc(N2CCCC2)nc2ccccc12)NC1CC1
Cc1ccccc1N(C)S(=O)(=O)c1cc(Cl)ccc1Cl
CCN(c1ccccc1)S(=O)(=O)c1cc(Cl)ccc1Cl

