N=C(Nc1ccccc1)Nc1ccccc1
CC1=NN(c2ccccc2)C(=O)C1
O=c1[nH]cc(F)c(=O)[nH]1
Clc1cccc(Cl)c1NC1=NCCN1
O=P1(N(CCCl)CCCl)NCCCO1
NC1=NC(=O)C(c2ccccc2)O1
CC(C)(CO)C(O)C(=O)NCCCO
Cc1cccc(C)c1NC(=O)C(C)N
Nc1c2c(nc3ccccc13)CCCC2
Cc1cccc(-c2cccc(C)n2)n1
Cc1cnc2c(ccc3cccnc32)c1
NCC(CC(=O)O)c1ccc(Cl)cc1
Cc1cc(=O)n(-c2ccccc2)n1C
Clc1cc(Cl)c(OCC#CI)cc1Cl
COc1cc(/C=C/C(=O)O)ccc1O
C[n+]1ccccc1/C=N/O.[Cl-]
COc1ccccc1OCC(O)COC(N)=O
Nc1nc2[nH]cnc2c(=S)[nH]1
Clc1ccccc1CN1CCc2sccc2C1
Oc1ccnc2c1ccc1c(O)ccnc12
Cc1ccnc2c1ccc1c(C)ccnc12
Cc1ccc2ccc3ccc(C)nc3c2n1
O=c1[nH]c2ccccc2c2ccccc12
Nc1cc(-c2ccncc2)c[nH]c1=O
COc1ccc2cc(CC(=O)O)ccc2c1
CNC[C@H](O)c1ccc(O)c(O)c1
CC(O)(P(=O)(O)O)P(=O)(O)O
C/C=C/C(=O)N(CC)c1ccccc1C
CCCc1cc(=O)[nH]c(=S)[nH]1
CNNCc1ccc(C(=O)NC(C)C)cc1
CC(N)C12CC3CC(CC(C3)C1)C2
C#CCN(C)[C@H](C)Cc1ccccc1
Nc1nc2ccc(OC(F)(F)F)cc2s1
COc1ccnc(-c2cc(OC)ccn2)c1
Cn1c(=O)c2c(ncn2C)n(C)c1=O
CS(=O)(=O)OCCCCOS(C)(=O)=O
CC(=O)Nc1nnc(S(N)(=O)=O)s1
N=C(N)N/N=C/c1c(Cl)cccc1Cl
CC(C)Cc1ccc(C(C)C(=O)O)cc1
O=C(O)Cc1ccc(-c2ccccc2)cc1
Cc1cc(C2CCCCC2)n(O)c(=O)c1
CNCCCN1c2ccccc2CCc2ccccc21
CCN(CC)C(=S)SSC(=S)N(CC)CC
O=C(O)CC(O)(CC(=O)O)C(=O)O
CN(C)/N=N/c1[nH]cnc1C(N)=O
CC(C)(Oc1ccc(Cl)cc1)C(=O)O
CN(C)CCN(Cc1cccs1)c1ccccn1
COc1ccc2cc(CCC(C)=O)ccc2c1
COc1nc(C)nc(Cl)c1NC1=NCCN1
CCN(CC)CC(=O)Nc1c(C)cccc1C

