O=S(=O)(Nc1cc(F)ccc1F)c1ccc(Cl)cc1
O=S(=O)(Cc1cc(F)ccc1F)c1ccc(Cl)cc1
CO[C@@H]1CC=CC(=O)[C@H]1OCc1ccccc1
CO[C@@H]1C(=O)C=CC[C@H]1OCc1ccccc1
O=S(=O)(NC1C2CCCCC1CC2)c1ccc(Cl)s1
CCCCCCCCn1c2ccccc2c2ccc(OCC#N)cc21
O=C1Nc2ccc(Cl)cc2/C1=C/c1ccc(O)cc1
O=C1C=CCN(C(=O)c2ccccc2)C1Cc1ccccc1
O=C(OCc1ccccc1)N1CCCC(O)C1Cc1ccccc1
O=S(=O)(NC1C2CCC1Cc1ccccc1C2)c1cccs1
CO[C@@H]1CC(O)CC(=O)[C@H]1OCc1ccccc1
CO[C@@H]1C(=O)CC(O)C[C@H]1OCc1ccccc1
O=C1CCCN(C(=O)OCc2ccccc2)C1Cc1ccccc1
CC1CCC2CCCCC2N1S(=O)(=O)c1ccc(Cl)cc1
CCCCCCCCn1c2ccccc2c2ccc(OCCNC=O)cc21
N#Cc1ccc2c(c1)CCc1sc(Cc3ccccc3)nc1N2
O=S(=O)(NC1C2CCC1Cc1ccccc1C2)c1ccccc1
CN(c1cc(F)ccc1F)S(=O)(=O)c1ccc(Cl)cc1
CC(c1cc(F)ccc1F)S(=O)(=O)c1ccc(Cl)cc1
O=C1C=CCN(C(=O)OCc2ccccc2)C1Cc1ccccc1
CCCCCCCCn1c2ccccc2c2ccc(OCC(=O)O)cc21
NC12CCCCC(CC1)C2NS(=O)(=O)c1ccc(Cl)s1
O=S(=O)(c1ccc(Cl)cc1)N1CCCCC1c1ccccc1
COc1cc(-c2nnc3n2CCCN3)ccc1-n1cnc(C)c1
CCCCCCCCn1c2ccccc2c2ccc(OCC(N)=O)cc21
CCCCCCCCn1c2ccccc2c2cc(CO)c(OCCO)cc21
COc1ccc(/C=C2\C(=O)Nc3ccc(Cl)cc32)cc1
C[C@@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1
CC(C)N(Cc1ccccc1)C(=O)c1ccc2ccccc2c1O
CC(C)N(CCC(O)c1ccc2ccccc2c1)Cc1ccccc1
O=S(=O)(NC1C2CCC1Cc1ccccc1C2)c1ccccc1F
CCCCCCCCCn1c2ccccc2c2ccc(OCC(=O)O)cc21
O=S(=O)(NC1C2CCCCC1(CO)CC2)c1ccc(Cl)s1
CCCCCCCCn1c2ccccc2c2ccc(OCC(=O)OC)cc21
CCCCCCCCn1c2ccccc2c2ccc(OCCC(=O)O)cc21
Cc1ccccc1COc1cccn2c(-c3ccncc3)c(C)nc12
O=S(=O)(c1ccc(Cl)cc1)C1(c2ccccc2)CCCCC1
O=S(=O)(c1ccccc1)C1(c2cc(F)ccc2F)CCCCC1
O=C1C=CCN(S(=O)(=O)c2ccccc2)C1Cc1ccccc1
CCN(c1cc(Cl)ccc1CO)S(=O)(=O)c1ccc(C)cc1
CCCCCCCCCCn1c2ccccc2c2ccc(OCC(=O)O)cc21
N#CC12CCCCC(CC1)C2NS(=O)(=O)c1ccc(Cl)s1
O=S(=O)(c1ccc(Cl)cc1)N1CCc2n[nH]cc2C1CO
CCCCCCCCn1c2ccccc2c2ccc(OCC(=O)OCC)cc21
COc1cc(Nc2nc3c(s2)CCCC3c2ccccc2)ccc1C#N
O=C1Nc2ccc(Cl)cc2/C1=C/c1ccc(OCCCCl)cc1
Cc1ccc(S(=O)(=O)NC2C3CCC2Cc2ccccc2C3)cc1
O=S(=O)(NC1C2CCC1Cc1ccccc1C2)c1cccc(F)c1
O=S(=O)(NC1C2CCC1Cc1ccccc1C2)c1ccc(F)cc1
Cc1cccc(S(=O)(=O)NC2C3CCC2Cc2ccccc2C3)c1
