c1ccc2ncc(-n3ccnc3)cc2c1
c1cn(CCC2CCCc3occc32)cn1
c1cn(CCC2CCCc3sccc32)cn1
CC1Cc2ccccc2C=C1c1cccnc1
CCCCCCc1cn(Cc2ccccc2)nn1
COc1cc2ccccc2cc1-n1ccnc1
Nc1ccc(/C=C/c2ccccc2)cc1
O=C1c2ccccc2CC1Cc1ccncc1
O=C1c2ccccc2OCC1c1ccccc1
C1=C(c2cccnc2)CCc2ccccc21
C1=C(Cn2ccnc2)c2cccnc2CC1
c1cc(CCn2ccnc2)c2cccnc2c1
c1ccc2c(c1)CCCC2CCn1ccnc1
c1cnc2c(c1)C(n1ccnc1)CCC2
c1cncc(-c2ccc3ccccc3c2)c1
c1cncc(-c2ccc3ccccc3n2)c1
CC(C)CC(C)OC(=O)Cc1ccncc1
CC1(c2ccncc2)CCC(=O)NC1=O
CC1CCC(OC(=O)Cc2ccncc2)C1
CCCCCCCc1cn(Cc2ccccc2)nn1
CCN(CC)c1ccc2ccc(=O)oc2c1
COc1cc2ccccc2cc1-c1cccnc1
Fc1ccc2ccc(Cn3ccnc3)cc2c1
N#CC(C#N)=Cc1ccc(O)c(O)c1
N#Cc1ccc(Oc2cccnc2)cc1C#N
Nc1ccc(C2CCC(=O)NC2=O)cc1
O=C1c2ccccc2CCC1Cc1ccncc1
O=C1c2ccccc2OCC1c1ccccc1F
Oc1cccc2c1CC(Cc1ccncc1)C2
OCc1ccc(C2CCCc3cncn32)cc1
CC1(OC(=O)Cc2ccncc2)CCCCC1
CC1=C(c2cccnc2)CCc2ccccc21
CC1CC(c2cccnc2)=Cc2ccccc21
CC1CCC(OC(=O)Cc2ccncc2)CC1
Cc1cccc2c1CC/C2=C/c1cccnc1
Cc1cccc2c1CC/C2=C\c1cccnc1
CCCCCCCC/C=C\CCCCCCCC(=O)O
Clc1ccc(-n2ccc3ccncc32)cc1
COc1ccc2cc(-n3ccnc3)ccc2c1
COc1cccc2c(C)cc(=O)[nH]c12
COc1cccc2c(C)cc(=O)n(C)c12
COc1cccc2c1CC(Cc1ccncc1)C2
COc1ccccc1C1COc2ccccc2C1=O
Fc1cccc2c1CC/C2=C/c1cccnc1
Fc1cccc2c1CC/C2=C\c1cccnc1
N#Cc1ccc(C2CCCc3cncn32)cc1
O=c1ccc2ccc(Cn3ccnc3)cc2o1
O=c1ccc2ccc(Cn3cncn3)cc2o1
O=c1ccoc2cc(Cn3ccnc3)ccc12
O=c1ccoc2cc(Cn3cncn3)ccc12

