COc1ccccc1CNc1ncnc(Cl)c1/C=N/O
Cc1cc(C)nc(/N=C(\N)NCc2ccco2)n1
Cc1cc(C)nc(/N=C(\N)NCc2cccs2)n1
Cc1cc(C)nc(NC(=O)NCCc2ccccc2)n1
Cc1cc(C)nc(NC(=N)NCCc2ccccc2)c1
Cc1cc(C)cc(NC(=N)NCCc2ccccc2)c1
Nc1ncnc2c1ncn2/C=C/C(=O)c1ccco1
O=C1Cc2cc(-c3ccoc3)ccc2C(=O)N1O
O=C1Cc2ccc(-c3ccco3)cc2C(=O)N1O
O=C1NC2N=CNC2C(=O)N(Cc2ccccc2)N1
Cc1cc(C)nc(/N=C(\N)NCc2ccccc2)n1
O=C(Nc1ccc(F)cc1)c1cc(I)cc(I)c1O
O=C(Nc1ccc(O)cc1)c1cc(I)cc(I)c1O
Nc1ccc(NC(=O)c2cc(I)cc(I)c2O)cc1
Cc1ccc(NC(=O)c2cc(I)cc(I)c2O)cc1
Nc1ncnc2c1ncn2/C=C/C(=O)c1ccccc1
CC(C)(C)c1cccc(N2CCC(=O)NC2=O)c1
CC(C)(C)c1cccc(-c2ccc[nH]c2=O)c1
CC(C)(C)c1ccc(Cc2ccc[nH]c2=O)cc1
CC(C)(C)c1ccc(CN2C(=O)CNC2=O)cc1
COc1ccc(-c2cnco2)cc1NCc1ccc(C)s1
COc1cc(NCc2cccnc2Cl)ccc1-c1cnco1
COc1cc(NCc2ccc(C)o2)ccc1-c1cnco1
COc1cc(NCc2ccc(C)s2)ccc1-c1cnco1
COc1cc(/N=C/c2cccs2)ccc1-c1cnco1
Cn1c(-c2cccs2)nc(C(=O)O)c(O)c1=O
Cc1cc(C)nc(/N=C(\N)NCCc2cccnc2)n1
Cc1cc(C)nc(/N=C(\N)NCCc2ccncc2)n1
Cc1cc(C)nc(/N=C(\N)NCCc2ccccc2)n1
Cc1cc(C)nc(/N=C(\S)NCCc2ccccc2)n1
O=C(Nc1ccc(Cl)cc1)c1cc(I)cc(I)c1O
COc1ccc(NC(=O)c2cc(I)cc(I)c2O)cc1
CC(C)(C)c1cc(N2CCC(=O)NC2=O)ccc1O
COc1cc(NCc2cccc(C)n2)ccc1-c1cnco1
COc1cc(NCc2ccc(Br)s2)ccc1-c1cnco1
COc1cc(NCc2ccc(Cl)s2)ccc1-c1cnco1
Cc1nc(/N=C(\N)NCCc2ccccc2)nc(C)c1C
Cc1nc(/N=C(\N)NCCc2ccccc2)nc(C)c1O
Cc1cc(C)nc(/N=C(\N)NCCCc2ccccc2)n1
Cc1cc(C)nc(NC(=N)N(C)CCc2ccccc2)n1
Cc1cc(C)nc(N(C)C(=N)NCCc2ccccc2)n1
Cc1cc(C)nc(/N=C(\N)NCCc2ccccc2C)n1
O=C(COc1ccc(Cl)cc1)Nc1ccccc1C(=O)O
O=C(CNc1cccc(Br)c1)Nc1ccccc1C(=O)O
O=C(CSc1ccc(Cl)cc1)Nc1ccccc1C(=O)O
COc1ccc(OCC(=O)Nc2ccccc2C(=O)O)cc1
O=C(Nc1ccc(Cl)cc1O)c1cc(I)cc(I)c1O
O=C1CCSC(c2c(Cl)cccc2Cl)N1Cc1ccco1
Nc1ncnc2c1ncn2Cc1cn(CP(=O)(O)O)nn1
O=C1CCN(c2cccc(C(F)(F)F)c2)C(=O)N1

